Path,Objective sense,Problem,Format,Dataset,Best known solution value,Best known bound,TSMA,Certificate path
hifi2006/I1 - I10/7I5,max,knapsackwithconflicts,hifi2006,hifi2006,2770,,,
hifi2006/I1 - I10/8I1,max,knapsackwithconflicts,hifi2006,hifi2006,2730,,,
hifi2006/I1 - I10/8I2,max,knapsackwithconflicts,hifi2006,hifi2006,2720,,,
hifi2006/I1 - I10/8I3,max,knapsackwithconflicts,hifi2006,hifi2006,2740,,,
hifi2006/I1 - I10/8I4,max,knapsackwithconflicts,hifi2006,hifi2006,2720,,,
hifi2006/I1 - I10/8I5,max,knapsackwithconflicts,hifi2006,hifi2006,2710,,,
hifi2006/I1 - I10/9I1,max,knapsackwithconflicts,hifi2006,hifi2006,2680,,,
hifi2006/I1 - I10/9I2,max,knapsackwithconflicts,hifi2006,hifi2006,2670,,,
hifi2006/I1 - I10/9I3,max,knapsackwithconflicts,hifi2006,hifi2006,2670,,,
hifi2006/I1 - I10/9I4,max,knapsackwithconflicts,hifi2006,hifi2006,2670,,,
hifi2006/I1 - I10/9I5,max,knapsackwithconflicts,hifi2006,hifi2006,2670,,,
hifi2006/I1 - I10/10I1,max,knapsackwithconflicts,hifi2006,hifi2006,2624,,,
hifi2006/I1 - I10/10I2,max,knapsackwithconflicts,hifi2006,hifi2006,2642,,,
hifi2006/I1 - I10/10I3,max,knapsackwithconflicts,hifi2006,hifi2006,2627,,,
hifi2006/I1 - I10/10I4,max,knapsackwithconflicts,hifi2006,hifi2006,2621,,,
hifi2006/I1 - I10/10I5,max,knapsackwithconflicts,hifi2006,hifi2006,2630,,,
hifi2006/I11 - I20/11I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4960,,,
hifi2006/I11 - I20/11I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4940,,,
hifi2006/I11 - I20/11I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4950,,,
hifi2006/I11 - I20/11I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4930,,,
hifi2006/I11 - I20/11I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4920,,,
hifi2006/I11 - I20/12I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4690,,,
hifi2006/I11 - I20/12I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4680,,,
hifi2006/I11 - I20/12I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4690,,,
hifi2006/I11 - I20/12I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4680,,,
hifi2006/I11 - I20/12I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4670,,,
hifi2006/I11 - I20/13I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4539,,,
hifi2006/I11 - I20/13I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4530,,,
hifi2006/I11 - I20/13I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4540,,,
hifi2006/I11 - I20/13I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4530,,,
hifi2006/I11 - I20/13I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4537,,,
hifi2006/I11 - I20/14I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4440,,,
hifi2006/I11 - I20/14I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4440,,,
hifi2006/I11 - I20/14I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4439,,,
hifi2006/I11 - I20/14I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4435,,,
hifi2006/I11 - I20/14I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4440,,,
hifi2006/I11 - I20/15I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4370,,,
hifi2006/I11 - I20/15I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4370,,,
hifi2006/I11 - I20/15I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4370,,,
hifi2006/I11 - I20/15I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4370,,,
hifi2006/I11 - I20/15I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4379,,,
hifi2006/I11 - I20/16I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,5020,,,
hifi2006/I11 - I20/16I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,5010,,,
hifi2006/I11 - I20/16I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,5020,,,
hifi2006/I11 - I20/16I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,5020,,,
hifi2006/I11 - I20/16I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,5060,,,
hifi2006/I11 - I20/17I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4730,,,
hifi2006/I11 - I20/17I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4720,,,
hifi2006/I11 - I20/17I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4729,,,
hifi2006/I11 - I20/17I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4730,,,
hifi2006/I11 - I20/17I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4730,,,
hifi2006/I11 - I20/18I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4568,,,
hifi2006/I11 - I20/18I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4560,,,
hifi2006/I11 - I20/18I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4570,,,
hifi2006/I11 - I20/18I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4568,,,
hifi2006/I11 - I20/18I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4570,,,
hifi2006/I11 - I20/19I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4460,,,
hifi2006/I11 - I20/19I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4460,,,
hifi2006/I11 - I20/19I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4469,,,
hifi2006/I11 - I20/19I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4460,,,
hifi2006/I11 - I20/19I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4466,,,
hifi2006/I11 - I20/20I1.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4390,,,
hifi2006/I11 - I20/20I2.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4390,,,
hifi2006/I11 - I20/20I3.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4389,,,
hifi2006/I11 - I20/20I4.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4389,,,
hifi2006/I11 - I20/20I5.txt,max,knapsackwithconflicts,hifi2006,hifi2006,4390,,,
bettinelli2017/C1/BPPC_1_0_1.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,199,199,199,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,186,186,186,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_1.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_1.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,188,188,188,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_2.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_2.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,199,199,199,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,186,186,186,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_3.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_3.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,208,208,208,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_4.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,179,179,179,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_4.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,220,220,220,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,183,183,183,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_5.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_5.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,209,209,209,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,195,195,195,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_6.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_6.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,198,198,198,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,189,189,189,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_7.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_7.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,206,206,206,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.6_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.7,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,190,190,190,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.7_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.8,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,189,189,189,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.8_solution.txt
bettinelli2017/C1/BPPC_1_0_8.txt_0.9,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,180,180,180,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_8.txt_0.9_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.1,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.1_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.2,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,210,210,210,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.2_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.3,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.3_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.4,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.4_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.5,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,200,200,200,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.5_solution.txt
bettinelli2017/C1/BPPC_1_0_9.txt_0.6,max,knapsackwithconflicts,bettinelli2017,bettinelli2017,196,196,196,certificates/bettinelli2017/bettinelli2017/C1/BPPC_1_0_9.txt_0.6_solution.txt
